yearmonth,organ,quantity1,quantity2,quantity3,quantity4,quantity5,quantity6,quantity7,quantity8,quantity9,quantity10,quantity11,quantity12,quantity13,quantity14,quantity15,quantity16,quantity17
103年1月,板橋分局,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103年1月,海山分局,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
103年1月,中和第一分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年1月,中和第二分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年1月,永和分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年1月,新店分局,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年1月,三重分局,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
103年1月,新莊分局,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
103年1月,土城分局,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103年1月,樹林分局,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
103年1月,三峽分局,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年1月,蘆洲分局,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
103年1月,淡水分局,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103年1月,汐止分局,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
103年1月,金山分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年1月,瑞芳分局,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
103年2月,板橋分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年2月,海山分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年2月,中和第一分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年2月,中和第二分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年2月,永和分局,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年2月,新店分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年2月,三重分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年2月,新莊分局,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
103年2月,土城分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
103年2月,樹林分局,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年2月,三峽分局,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103年2月,蘆洲分局,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
103年2月,淡水分局,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年2月,汐止分局,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年2月,金山分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年2月,瑞芳分局,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103年3月,板橋分局,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
103年3月,海山分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年3月,中和第一分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年3月,中和第二分局,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
103年3月,永和分局,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
103年3月,新店分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年3月,三重分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
103年3月,新莊分局,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
103年3月,土城分局,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
103年3月,樹林分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
103年3月,三峽分局,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年3月,蘆洲分局,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
103年3月,淡水分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年3月,汐止分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年3月,金山分局,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103年3月,瑞芳分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年4月,板橋分局,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年4月,海山分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年4月,中和第一分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
103年4月,中和第二分局,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
103年4月,永和分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年4月,新店分局,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103年4月,三重分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年4月,新莊分局,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
103年4月,土城分局,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年4月,樹林分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年4月,三峽分局,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103年4月,蘆洲分局,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
103年4月,淡水分局,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103年4月,汐止分局,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
103年4月,金山分局,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年4月,瑞芳分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年5月,板橋分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年5月,海山分局,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年5月,中和第一分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年5月,中和第二分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年5月,永和分局,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
103年5月,新店分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年5月,三重分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年5月,新莊分局,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年5月,土城分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年5月,樹林分局,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103年5月,三峽分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
103年5月,蘆洲分局,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103年5月,淡水分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年5月,汐止分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年5月,金山分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年5月,瑞芳分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年6月,板橋分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年6月,海山分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年6月,中和第一分局,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
103年6月,中和第二分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年6月,永和分局,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
103年6月,新店分局,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
103年6月,三重分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年6月,新莊分局,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
103年6月,土城分局,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
103年6月,樹林分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年6月,三峽分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年6月,蘆洲分局,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103年6月,淡水分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年6月,汐止分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年6月,金山分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年6月,瑞芳分局,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年7月,板橋分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年7月,海山分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年7月,中和第一分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年7月,中和第二分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年7月,永和分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年7月,新店分局,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年7月,三重分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年7月,新莊分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年7月,土城分局,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103年7月,樹林分局,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
103年7月,三峽分局,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103年7月,蘆洲分局,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年7月,淡水分局,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年7月,汐止分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年7月,金山分局,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年7月,瑞芳分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年8月,板橋分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年8月,海山分局,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年8月,中和第一分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年8月,中和第二分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年8月,永和分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年8月,新店分局,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年8月,三重分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年8月,新莊分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
103年8月,土城分局,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
103年8月,樹林分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年8月,三峽分局,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103年8月,蘆洲分局,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年8月,淡水分局,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年8月,汐止分局,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年8月,金山分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年8月,瑞芳分局,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103年9月,板橋分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年9月,海山分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年9月,中和第一分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年9月,中和第二分局,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年9月,永和分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年9月,新店分局,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年9月,三重分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年9月,新莊分局,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年9月,土城分局,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
103年9月,樹林分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年9月,三峽分局,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
103年9月,蘆洲分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年9月,淡水分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年9月,汐止分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年9月,金山分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年9月,瑞芳分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年10月,板橋分局,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
103年10月,海山分局,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103年10月,中和第一分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年10月,中和第二分局,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
103年10月,永和分局,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103年10月,新店分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年10月,三重分局,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0
103年10月,新莊分局,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103年10月,土城分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年10月,樹林分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年10月,三峽分局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103年10月,蘆洲分局,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
